Data; Wartość; Rodzaj;
2023-11-09 1:00;1,432;pobrana [kWh];
2023-11-09 2:00;1,482;pobrana [kWh];
2023-11-09 3:00;1,167;pobrana [kWh];
2023-11-09 4:00;0,094;pobrana [kWh];
2023-11-09 5:00;0,089;pobrana [kWh];
2023-11-09 6:00;0,104;pobrana [kWh];
2023-11-09 7:00;0,127;pobrana [kWh];
2023-11-09 8:00;0,561;pobrana [kWh];
2023-11-09 9:00;1,108;pobrana [kWh];
2023-11-09 10:00;1,246;pobrana [kWh];
2023-11-09 11:00;0,077;pobrana [kWh];
2023-11-09 12:00;0,000;pobrana [kWh];
2023-11-09 13:00;0,108;pobrana [kWh];
2023-11-09 14:00;0,000;pobrana [kWh];
2023-11-09 15:00;0,000;pobrana [kWh];
2023-11-09 16:00;0,067;pobrana [kWh];
2023-11-09 17:00;1,012;pobrana [kWh];
2023-11-09 18:00;1,023;pobrana [kWh];
2023-11-09 19:00;0,413;pobrana [kWh];
2023-11-09 20:00;0,412;pobrana [kWh];
2023-11-09 21:00;1,147;pobrana [kWh];
2023-11-09 22:00;0,130;pobrana [kWh];
2023-11-09 23:00;0,132;pobrana [kWh];
2023-11-09 24:00;0,279;pobrana [kWh];
2023-11-10 1:00;0,865;pobrana [kWh];
2023-11-10 2:00;0,132;pobrana [kWh];
2023-11-10 3:00;0,386;pobrana [kWh];
2023-11-10 4:00;0,801;pobrana [kWh];
2023-11-10 5:00;0,132;pobrana [kWh];
2023-11-10 6:00;0,131;pobrana [kWh];
2023-11-10 7:00;0,136;pobrana [kWh];
2023-11-10 8:00;0,982;pobrana [kWh];
2023-11-10 9:00;0,730;pobrana [kWh];
2023-11-10 10:00;0,486;pobrana [kWh];
2023-11-10 11:00;0,064;pobrana [kWh];
2023-11-10 12:00;0,070;pobrana [kWh];
2023-11-10 13:00;0,538;pobrana [kWh];
2023-11-10 14:00;0,068;pobrana [kWh];
2023-11-10 15:00;0,000;pobrana [kWh];
2023-11-10 16:00;0,930;pobrana [kWh];
2023-11-10 17:00;0,583;pobrana [kWh];
2023-11-10 18:00;0,231;pobrana [kWh];
2023-11-10 19:00;0,211;pobrana [kWh];
2023-11-10 20:00;0,211;pobrana [kWh];
2023-11-10 21:00;1,020;pobrana [kWh];
2023-11-10 22:00;0,351;pobrana [kWh];
2023-11-10 23:00;0,128;pobrana [kWh];
2023-11-10 24:00;0,128;pobrana [kWh];
2023-11-11 1:00;0,129;pobrana [kWh];
2023-11-11 2:00;0,129;pobrana [kWh];
2023-11-11 3:00;0,129;pobrana [kWh];
2023-11-11 4:00;0,129;pobrana [kWh];
2023-11-11 5:00;0,129;pobrana [kWh];
2023-11-11 6:00;0,128;pobrana [kWh];
2023-11-11 7:00;0,135;pobrana [kWh];
2023-11-11 8:00;0,094;pobrana [kWh];
2023-11-11 9:00;0,007;pobrana [kWh];
2023-11-11 10:00;0,253;pobrana [kWh];
2023-11-11 11:00;0,065;pobrana [kWh];
2023-11-11 12:00;0,000;pobrana [kWh];
2023-11-11 13:00;0,000;pobrana [kWh];
2023-11-11 14:00;0,000;pobrana [kWh];
2023-11-11 15:00;0,000;pobrana [kWh];
2023-11-11 16:00;0,121;pobrana [kWh];
2023-11-11 17:00;0,250;pobrana [kWh];
2023-11-11 18:00;1,378;pobrana [kWh];
2023-11-11 19:00;1,100;pobrana [kWh];
2023-11-11 20:00;0,212;pobrana [kWh];
2023-11-11 21:00;0,170;pobrana [kWh];
2023-11-11 22:00;0,129;pobrana [kWh];
2023-11-11 23:00;0,128;pobrana [kWh];
2023-11-11 24:00;0,128;pobrana [kWh];
2023-11-12 1:00;0,129;pobrana [kWh];
2023-11-12 2:00;0,130;pobrana [kWh];
2023-11-12 3:00;1,172;pobrana [kWh];
2023-11-12 4:00;1,125;pobrana [kWh];
2023-11-12 5:00;1,021;pobrana [kWh];
2023-11-12 6:00;1,376;pobrana [kWh];
2023-11-12 7:00;0,132;pobrana [kWh];
2023-11-12 8:00;0,142;pobrana [kWh];
2023-11-12 9:00;0,919;pobrana [kWh];
2023-11-12 10:00;0,000;pobrana [kWh];
2023-11-12 11:00;0,000;pobrana [kWh];
2023-11-12 12:00;0,000;pobrana [kWh];
2023-11-12 13:00;0,535;pobrana [kWh];
2023-11-12 14:00;0,176;pobrana [kWh];
2023-11-12 15:00;0,000;pobrana [kWh];
2023-11-12 16:00;0,447;pobrana [kWh];
2023-11-12 17:00;1,020;pobrana [kWh];
2023-11-12 18:00;0,203;pobrana [kWh];
2023-11-12 19:00;0,809;pobrana [kWh];
2023-11-12 20:00;1,244;pobrana [kWh];
2023-11-12 21:00;0,166;pobrana [kWh];
2023-11-12 22:00;0,147;pobrana [kWh];
2023-11-12 23:00;0,162;pobrana [kWh];
2023-11-12 24:00;1,010;pobrana [kWh];
2023-11-13 1:00;1,358;pobrana [kWh];
2023-11-13 2:00;0,312;pobrana [kWh];
2023-11-13 3:00;0,135;pobrana [kWh];
2023-11-13 4:00;0,162;pobrana [kWh];
2023-11-13 5:00;1,459;pobrana [kWh];
2023-11-13 6:00;0,400;pobrana [kWh];
2023-11-13 7:00;0,133;pobrana [kWh];
2023-11-13 8:00;2,051;pobrana [kWh];
2023-11-13 9:00;1,798;pobrana [kWh];
2023-11-13 10:00;0,679;pobrana [kWh];
2023-11-13 11:00;0,090;pobrana [kWh];
2023-11-13 12:00;0,011;pobrana [kWh];
2023-11-13 13:00;0,159;pobrana [kWh];
2023-11-13 14:00;0,073;pobrana [kWh];
2023-11-13 15:00;0,459;pobrana [kWh];
2023-11-13 16:00;1,123;pobrana [kWh];
2023-11-13 17:00;1,614;pobrana [kWh];
2023-11-13 18:00;2,630;pobrana [kWh];
2023-11-13 19:00;2,439;pobrana [kWh];
2023-11-13 20:00;0,437;pobrana [kWh];
2023-11-13 21:00;0,169;pobrana [kWh];
2023-11-13 22:00;0,140;pobrana [kWh];
2023-11-13 23:00;1,040;pobrana [kWh];
2023-11-13 24:00;0,132;pobrana [kWh];
2023-11-14 1:00;0,132;pobrana [kWh];
2023-11-14 2:00;0,777;pobrana [kWh];
2023-11-14 3:00;0,132;pobrana [kWh];
2023-11-14 4:00;0,358;pobrana [kWh];
2023-11-14 5:00;0,618;pobrana [kWh];
2023-11-14 6:00;0,278;pobrana [kWh];
2023-11-14 7:00;0,135;pobrana [kWh];
2023-11-14 8:00;0,152;pobrana [kWh];
2023-11-14 9:00;0,127;pobrana [kWh];
2023-11-14 10:00;0,384;pobrana [kWh];
2023-11-14 11:00;0,061;pobrana [kWh];
2023-11-14 12:00;0,055;pobrana [kWh];
2023-11-14 13:00;0,042;pobrana [kWh];
2023-11-14 14:00;0,000;pobrana [kWh];
2023-11-14 15:00;0,146;pobrana [kWh];
2023-11-14 16:00;0,228;pobrana [kWh];
2023-11-14 17:00;0,769;pobrana [kWh];
2023-11-14 18:00;2,515;pobrana [kWh];
2023-11-14 19:00;0,856;pobrana [kWh];
2023-11-14 20:00;0,204;pobrana [kWh];
2023-11-14 21:00;0,169;pobrana [kWh];
2023-11-14 22:00;0,598;pobrana [kWh];
2023-11-14 23:00;0,709;pobrana [kWh];
2023-11-14 24:00;0,904;pobrana [kWh];
2023-11-15 1:00;0,197;pobrana [kWh];
2023-11-15 2:00;0,350;pobrana [kWh];
2023-11-15 3:00;2,138;pobrana [kWh];
2023-11-15 4:00;0,412;pobrana [kWh];
2023-11-15 5:00;0,132;pobrana [kWh];
2023-11-15 6:00;0,132;pobrana [kWh];
2023-11-15 7:00;0,574;pobrana [kWh];
2023-11-15 8:00;1,183;pobrana [kWh];
2023-11-15 9:00;0,197;pobrana [kWh];
2023-11-15 10:00;0,118;pobrana [kWh];
2023-11-15 11:00;0,009;pobrana [kWh];
2023-11-15 12:00;0,646;pobrana [kWh];
2023-11-15 13:00;2,187;pobrana [kWh];
2023-11-15 14:00;0,577;pobrana [kWh];
2023-11-15 15:00;1,401;pobrana [kWh];
2023-11-15 16:00;0,460;pobrana [kWh];
2023-11-15 17:00;0,613;pobrana [kWh];
2023-11-15 18:00;1,153;pobrana [kWh];
2023-11-15 19:00;1,392;pobrana [kWh];
2023-11-15 20:00;0,207;pobrana [kWh];
2023-11-15 21:00;0,170;pobrana [kWh];
2023-11-15 22:00;0,134;pobrana [kWh];
2023-11-15 23:00;0,848;pobrana [kWh];
2023-11-15 24:00;1,264;pobrana [kWh];
2023-11-16 1:00;0,574;pobrana [kWh];
2023-11-16 2:00;0,143;pobrana [kWh];
2023-11-16 3:00;0,144;pobrana [kWh];
2023-11-16 4:00;0,144;pobrana [kWh];
2023-11-16 5:00;1,240;pobrana [kWh];
2023-11-16 6:00;1,170;pobrana [kWh];
2023-11-16 7:00;0,608;pobrana [kWh];
2023-11-16 8:00;0,187;pobrana [kWh];
2023-11-16 9:00;0,118;pobrana [kWh];
2023-11-16 10:00;0,171;pobrana [kWh];
2023-11-16 11:00;0,119;pobrana [kWh];
2023-11-16 12:00;0,457;pobrana [kWh];
2023-11-16 13:00;0,145;pobrana [kWh];
2023-11-16 14:00;0,029;pobrana [kWh];
2023-11-16 15:00;0,552;pobrana [kWh];
2023-11-16 16:00;1,109;pobrana [kWh];
2023-11-16 17:00;1,593;pobrana [kWh];
2023-11-16 18:00;2,928;pobrana [kWh];
2023-11-16 19:00;1,354;pobrana [kWh];
2023-11-16 20:00;0,218;pobrana [kWh];
2023-11-16 21:00;0,169;pobrana [kWh];
2023-11-16 22:00;0,132;pobrana [kWh];
2023-11-16 23:00;0,288;pobrana [kWh];
2023-11-16 24:00;1,370;pobrana [kWh];
2023-11-17 1:00;0,294;pobrana [kWh];
2023-11-17 2:00;0,131;pobrana [kWh];
2023-11-17 3:00;0,132;pobrana [kWh];
2023-11-17 4:00;0,132;pobrana [kWh];
2023-11-17 5:00;1,117;pobrana [kWh];
2023-11-17 6:00;1,169;pobrana [kWh];
2023-11-17 7:00;0,559;pobrana [kWh];
