Data; Wartość; Rodzaj;
2023-10-03 00:15;0,0210;pobrana [kWh];
2023-10-03 00:30;0,0210;pobrana [kWh];
2023-10-03 00:45;0,0280;pobrana [kWh];
2023-10-03 01:00;0,0310;pobrana [kWh];
2023-10-03 01:15;0,0210;pobrana [kWh];
2023-10-03 01:30;0,0210;pobrana [kWh];
2023-10-03 01:45;0,0220;pobrana [kWh];
2023-10-03 02:00;0,0210;pobrana [kWh];
2023-10-03 02:15;0,0210;pobrana [kWh];
2023-10-03 02:30;0,0220;pobrana [kWh];
2023-10-03 02:45;0,0320;pobrana [kWh];
2023-10-03 03:00;0,0260;pobrana [kWh];
2023-10-03 03:15;0,0210;pobrana [kWh];
2023-10-03 03:30;0,0210;pobrana [kWh];
2023-10-03 03:45;0,0220;pobrana [kWh];
2023-10-03 04:00;0,0210;pobrana [kWh];
2023-10-03 04:15;0,0210;pobrana [kWh];
2023-10-03 04:30;0,0240;pobrana [kWh];
2023-10-03 04:45;0,0320;pobrana [kWh];
2023-10-03 05:00;0,0240;pobrana [kWh];
2023-10-03 05:15;0,0210;pobrana [kWh];
2023-10-03 05:30;0,0210;pobrana [kWh];
2023-10-03 05:45;0,0210;pobrana [kWh];
2023-10-03 06:00;0,0210;pobrana [kWh];
2023-10-03 06:15;0,0210;pobrana [kWh];
2023-10-03 06:30;0,0240;pobrana [kWh];
2023-10-03 06:45;0,0340;pobrana [kWh];
2023-10-03 07:00;0,0260;pobrana [kWh];
2023-10-03 07:15;0,0150;pobrana [kWh];
2023-10-03 07:30;0,0010;pobrana [kWh];
2023-10-03 07:45;0,0000;pobrana [kWh];
2023-10-03 08:00;0,0050;pobrana [kWh];
2023-10-03 08:15;0,0000;pobrana [kWh];
2023-10-03 08:30;0,0860;pobrana [kWh];
2023-10-03 08:45;0,0000;pobrana [kWh];
2023-10-03 09:00;0,0000;pobrana [kWh];
2023-10-03 09:15;0,0000;pobrana [kWh];
2023-10-03 09:30;0,0000;pobrana [kWh];
2023-10-03 09:45;0,0000;pobrana [kWh];
2023-10-03 10:00;0,0830;pobrana [kWh];
2023-10-03 10:15;0,0000;pobrana [kWh];
2023-10-03 10:30;0,0270;pobrana [kWh];
2023-10-03 10:45;0,0090;pobrana [kWh];
2023-10-03 11:00;0,0270;pobrana [kWh];
2023-10-03 11:15;0,0150;pobrana [kWh];
2023-10-03 11:30;0,0310;pobrana [kWh];
2023-10-03 11:45;0,0310;pobrana [kWh];
2023-10-03 12:00;0,0220;pobrana [kWh];
2023-10-03 12:15;0,0030;pobrana [kWh];
2023-10-03 12:30;0,0280;pobrana [kWh];
2023-10-03 12:45;0,0150;pobrana [kWh];
2023-10-03 13:00;0,0140;pobrana [kWh];
2023-10-03 13:15;0,0090;pobrana [kWh];
2023-10-03 13:30;0,0110;pobrana [kWh];
2023-10-03 13:45;0,0230;pobrana [kWh];
2023-10-03 14:00;0,0100;pobrana [kWh];
2023-10-03 14:15;0,0060;pobrana [kWh];
2023-10-03 14:30;0,0050;pobrana [kWh];
2023-10-03 14:45;0,0040;pobrana [kWh];
2023-10-03 15:00;0,0000;pobrana [kWh];
2023-10-03 15:15;0,0000;pobrana [kWh];
2023-10-03 15:30;0,0000;pobrana [kWh];
2023-10-03 15:45;0,0000;pobrana [kWh];
2023-10-03 16:00;0,0000;pobrana [kWh];
2023-10-03 16:15;0,0000;pobrana [kWh];
2023-10-03 16:30;0,0780;pobrana [kWh];
2023-10-03 16:45;0,3390;pobrana [kWh];
2023-10-03 17:00;0,2910;pobrana [kWh];
2023-10-03 17:15;0,2640;pobrana [kWh];
2023-10-03 17:30;0,0000;pobrana [kWh];
2023-10-03 17:45;0,0000;pobrana [kWh];
2023-10-03 18:00;0,0020;pobrana [kWh];
2023-10-03 18:15;0,0200;pobrana [kWh];
2023-10-03 18:30;0,0310;pobrana [kWh];
2023-10-03 18:45;0,0220;pobrana [kWh];
2023-10-03 19:00;0,0230;pobrana [kWh];
2023-10-03 19:15;0,0210;pobrana [kWh];
2023-10-03 19:30;0,0210;pobrana [kWh];
2023-10-03 19:45;0,0200;pobrana [kWh];
2023-10-03 20:00;0,0210;pobrana [kWh];
2023-10-03 20:15;0,0320;pobrana [kWh];
2023-10-03 20:30;0,0270;pobrana [kWh];
2023-10-03 20:45;0,0200;pobrana [kWh];
2023-10-03 21:00;0,0210;pobrana [kWh];
2023-10-03 21:15;0,0200;pobrana [kWh];
2023-10-03 21:30;0,0210;pobrana [kWh];
2023-10-03 21:45;0,0210;pobrana [kWh];
2023-10-03 22:00;0,0230;pobrana [kWh];
